Index, Quadratic_integer_table
1, 7.00068473815918e-06
2, 1.0999679565429688e-05
3, 1.1999130249023438e-05
4, 1.1998653411865234e-05
5, 1.4999866485595703e-05
6, 1.2000322341918945e-05
7, 1.6002655029296876e-05
8, 1.7000675201416015e-05
9, 1.4005422592163086e-05
10, 1.7999410629272462e-05
